job_id,title,company,industry_domain,location,required_skills,years_experience,description,company_details,url
J01,"Machine Learning Engineer, Distributed Data Systems (Robotics)",OpenAI,AI Research / Robotics,"San Francisco, CA (Hybrid, 3 days/week)","Python, distributed systems, data pipelines, streaming infrastructure, machine learning infrastructure, Kubernetes-style orchestration",3+,"Design, build, and maintain data infrastructure systems such as distributed compute, data orchestration, distributed storage, and streaming infrastructure for large-scale multimodal training and evaluation.
Manage distributed data pipelines that power OpenAI's rapid research iteration cycles.
Collaborate closely with researchers to translate modeling requirements into robust, production-grade systems.
Harden, optimize, and maintain critical data infrastructure that scales by orders of magnitude while remaining reliable and efficient.
Ensure the data platform can support rapid growth in dataset size and training throughput.
Qualifications: strong experience with distributed systems and large-scale infrastructure; detail-oriented with rigor in building reliable systems; excellent software engineering fundamentals; comfortable with ambiguity and fast-changing priorities; strong interest in data-heavy ML systems work rather than pure modeling.",OpenAI is an AI research and deployment company whose mission is to ensure that artificial general intelligence benefits all of humanity. It builds and deploys large-scale AI systems including the GPT model family.,https://openai.com/careers/machine-learning-engineer-distributed-data-systems-robotics-san-francisco/
J02,AI/ML Engineer - Model Inference,General Motors,Automotive / Autonomous Systems,"Sunnyvale, CA","Python, computer vision, multimodal models, inference frameworks, embeddings, retrieval systems, ML pipeline evaluation",3+,"Build the data processing, featurization, and inference foundations that power scalable world understanding for autonomous and driver-assist systems.
Design, build, and productionize data processing and featurization pipelines for large-scale multimodal data.
Improve inference frameworks for computer vision and multimodal models with a focus on reliability, extensibility, and operational simplicity.
Drive scalability and cost efficiency across the end-to-end pipeline, including compute utilization, throughput, storage, and query performance.
Work closely with partners across machine learning and platform teams.
Evaluate machine learning systems using clear metrics, experiments, and regression safeguards.
Qualifications: BS/MS/PhD in Computer Science, Electrical Engineering, Robotics, or equivalent practical experience; experience building production data or ML pipelines at scale; experience with featurization, embedding, inference, or retrieval systems for vision or multimodal workloads.","General Motors is a major American automotive manufacturer investing heavily in software-defined vehicles, autonomous driving, and AI-powered driver-assistance systems.",https://search-careers.gm.com/en/jobs/jr-202613719/ai-ml-engineer-model-inference/
J03,"Senior Machine Learning Engineer, Payments",Airbnb,Travel & Hospitality / Payments,US - Remote Eligible,"LLM-powered workflows, RLHF, real-time fraud detection systems, ML orchestration frameworks, model governance, online/offline testing",5+,"Transform bold AI innovation - LLM-powered workflows, real-time fraud defenses, and hyper-personalized checkout flows - into production systems for Airbnb's payments experience.
Architect and own end-to-end solutions at global scale.
Partner closely with product, software, and operations teams to turn complex requirements into elegant, latency-first services.
Set the technical standard for model governance, continuous learning, and engineering excellence across the payments ecosystem.
Shape the company's broader AI strategy for trust and safety in payments.
Qualifications: 5+ years of industry experience in applied AI/ML (MS or PhD a plus); mastery of modern AI techniques including RLHF and hallucination mitigation; hands-on experience with at least three ML orchestration/serving tools; demonstrated success designing, deploying, and scaling AI systems with measurable business impact.","Airbnb operates a global online marketplace for lodging and travel experiences, connecting hosts and guests in over 220 countries and regions.",https://careers.airbnb.com/positions/7755758/
J04,Senior Software Machine Learning Engineer,Teradyne,Semiconductor / Manufacturing,"North Reading, MA","Python, LLM fine-tuning, reinforcement learning (PPO, actor-critic), time-series analysis, computer vision, MLOps, model deployment, LangChain",5+,"Serve as Teradyne's highest individual-contributor technical authority in ML, owning end-to-end technical excellence of the company's machine learning systems.
Define modeling standards and set the engineering bar for the entire ML team.
Take personal ownership of the most complex and highest-impact ML problems, spanning time-series analysis of semiconductor parametric test data, computer vision for defect detection, adaptive test optimization, and applied LLM systems.
Mentor junior engineers and act as the go-to technical voice for hard ML problems.
Qualifications: 5+ years of experience in machine learning, applied AI, or related fields; hands-on experience fine-tuning large language models; experience with reinforcement learning methods; strong systems and Python skills; experience building production ML systems including MLOps, monitoring, and deployment; familiarity with LangChain and reasoning-driven workflow design.","Teradyne designs and manufactures automated test equipment used across the semiconductor and electronics manufacturing industry, serving customers who build chips and devices.",https://jobs.teradyne.com/Teradyne/job/North-Reading-Senior-Software-Machine-Learning-Engineer-%28Teradyne%2C-North-Reading%2C-MA%29-MA/1408695700/
J05,"Machine Learning Engineer II, Special Projects",Amazon,Technology / E-commerce,"Seattle, WA","Python, Java, software architecture and design patterns, ML systems, data engineering, distributed systems reliability",3+,"Join an Amazon Special Projects team tackling ambitious, undefined problems at scale.
Leverage machine learning to build scalable, highly performant AI systems.
Collaborate closely with Applied Scientists on modeling experiments and prototypes.
Develop and maintain the key infrastructure needed for building and evaluating ML solutions.
Develop tools for data engineering and efficient utilization of large compute resources.
Operate in a fast-paced, Agile environment with little bureaucracy.
Qualifications: 3+ years of non-internship professional software development experience; 3+ years of experience with design or architecture (design patterns, reliability, and scaling) of new and existing systems; strong programming skills in at least one language; comfort with ambiguity and rapidly evolving priorities.","Amazon is a global technology company operating one of the world's largest e-commerce platforms alongside AWS, its cloud computing division, and a growing portfolio of consumer AI products.",https://www.amazon.jobs/en/jobs/3121713/machine-learning-engineer-ii-special-projects
J06,Research Scientist,OpenAI,AI Research,"San Francisco, CA","Deep learning research, experiment design, large-scale model training, independent research agenda ownership, published research or equivalent track record",3+ (research track record required),"Develop innovative machine learning techniques and advance the research agenda of the team, while collaborating with peers across the organization.
Discover simple, generalizable ideas that work well at large scale as part of a broader unifying research vision.
Own and pursue a research agenda, including choosing impactful research problems and autonomously carrying out long-running projects.
Qualifications: track record of coming up with new ideas or improving existing ideas in machine learning, demonstrated by first-author publications or comparable projects; past experience creating high-performance implementations of deep learning algorithms; genuine interest in the societal impacts of AI technology.",OpenAI is an AI research and deployment company whose mission is to ensure that artificial general intelligence benefits all of humanity.,https://openai.com/careers/research-scientist-san-francisco/
J07,AI Research Scientist,webAI,AI Research / On-device AI,Remote,"Python, PyTorch, TensorFlow, JAX, transformers, CNNs, diffusion models, quantization, distillation, pruning, federated learning",4+,"Contribute to webAI's development of next-generation AI models and systems.
Design, train, evaluate, and optimize cutting-edge machine learning models including large language models, multimodal architectures, and on-device inference systems.
Work closely with research leadership, applied AI teams, and platform engineering to translate scientific innovation into real-world impact.
Develop and evaluate benchmarks for on-device and edge inference performance.
Qualifications: 4+ years of experience (graduate research counts) in ML research, AI model development, or related fields; strong expertise in deep learning architectures including transformers, CNNs, RNNs, and diffusion models; hands-on experience training and fine-tuning large-scale models; deep understanding of optimization techniques including quantization, distillation, pruning, and hardware-aware training.","webAI builds next-generation on-device AI models and systems, focused on bringing efficient multimodal AI inference directly onto edge hardware.",https://homebased.totalh.net/job/ai-research-scientist-5
J08,Staff AI Research Scientist,Writer,Enterprise Generative AI,"San Francisco, CA / New York, NY","Python, PyTorch, JAX, SFT, RLHF, RLAIF, DPO, GRPO, agentic system design and evaluation, large-scale distributed training",7+,"Lead post-training research for Writer's enterprise generative AI platform, reporting to the VP of AI Research.
Design and execute large-scale post-training experiments using supervised fine-tuning, RLHF, RLAIF, DPO, and emerging alignment techniques, with a focus on multi-step reasoning, planning, and tool use in agentic workflows.
Develop scalable data pipelines that generate high-quality training data, including synthetic data generation and adversarial dataset construction.
Qualifications: 7+ years of hands-on ML research experience with deep expertise in LLM pre-training and post-training; expert-level knowledge of SFT, RLHF, RLAIF, DPO, and GRPO; strong command of Python and PyTorch/JAX; meaningful publication record at competitive ML/AI venues; hands-on experience designing or evaluating agentic systems; PhD in CS, ML, NLP, or equivalent demonstrated research experience.",Writer builds an enterprise generative AI platform that helps large organizations create content and automate workflows using custom large language models.,https://underprompt.com/jobs/staff-ai-research-scientist-writer
J09,Fundamental AI Research Scientist,AstraZeneca,Pharmaceutical / Healthcare Research,"Toronto (Mississauga), Ontario","Python, PyTorch, TensorFlow, causal inference, Bayesian optimization, natural language processing, probabilistic programming, experimental design",3+ (PhD-level research experience expected),"Conduct fundamental AI research and development with hands-on ability to implement AI/ML techniques based on publications or developed entirely in-house.
Apply rigorous scientific methodology to identify and create ML techniques and required training data, develop AI/ML architectures and training algorithms, analyze and fine-tune experimental results, and implement and scale training and inference engineering frameworks.
Validate hypotheses across areas such as multi-agent systems, causal inference, Bayesian optimization, deep learning, reinforcement learning, and natural language processing.
Qualifications: fundamental research experience with hands-on practical implementation ability; algorithmic development and programming experience in Python or similar languages, with deep learning toolkits (PyTorch, TensorFlow); expertise in at least one advanced ML research area.","AstraZeneca is a global biopharmaceutical company focused on the discovery, development, and commercialization of prescription medicines, increasingly leveraging AI in drug discovery research.",https://careers.astrazeneca.com/job/mississauga/fundamental-ai-research-scientist-toronto-ontario/7684/88572962192
J10,Data Scientist - Remote,UnitedHealth Group,Healthcare / Insurance,"Minnetonka, MN (Remote)","Python, Scala, SQL, Databricks, Spark, LLM/GenAI, RAG pipelines, vector databases, LangChain, Azure OpenAI, CI/CD (Git, GitHub Actions, Terraform)",5+,"Serve in a senior, hands-on AI/ML engineering position focused on building, enhancing, and integrating machine learning and generative AI solutions within Databricks.
Own end-to-end ML model development: data preparation, feature creation, training, and evaluation.
Build custom embedding models, RAG pipelines, and semantic search using vector databases.
Use LangChain for agentic workflows involving tools, agents, and memory.
Work with actuarial, risk, and forecasting models for healthcare claims data.
Qualifications: Bachelor's/Master's in CS, Engineering, Mathematics/Statistics, or related field; 5+ years as a Data Scientist; 5+ years of Python, Scala, SQL; 3+ years of Databricks/Spark; 2+ years of LLM and GenAI experience; experience with Azure cloud, CI/CD, and healthcare claims data preferred.",UnitedHealth Group is a diversified healthcare and health insurance company operating one of the largest health benefits and care delivery platforms in the United States.,https://careers.unitedhealthgroup.com/en/job/minnetonka/data-scientist-remote/34088/95342534368
