title,company,location,salary,job_type
Data Analyst,Acme Corp,New York,75000,Full-time
Software Engineer,Globex,San Francisco,120000,Full-time
Data Scientist,Initech,New York,110000,Full-time
Marketing Intern,Umbrella Inc,Chicago,35000,Internship
Backend Developer,Acme Corp,Remote,95000,Full-time
Product Manager,Globex,New York,130000,Full-time
UX Designer,Hooli,Austin,85000,Contract
Data Engineer,Initech,Remote,105000,Full-time
Sales Associate,Umbrella Inc,Chicago,50000,Part-time
Machine Learning Engineer,Hooli,San Francisco,140000,Full-time
